Segment,Brand
Refreshment Beverages,CADBURY BOURNVITA
Refreshment Beverages,CADBURY 3-in-1 HOT CHOCOLATE
Confectionery,TOMTOM CLASSIC
Confectionery,TOMTOM STRAWBERRY
Confectionery,BUTTERMINT
Intermediate Cocoa Products,COCOA POWDER
Intermediate Cocoa Products,COCOA BUTTER
